"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"1",339699,2017-02-17 00:02:00,10.22928,NA,5.87,6.210417,10.68885,8.145,949,2017-02-17
"2",339700,2017-02-17 00:12:00,10.23042,NA,5.88,6.200417,10.69135,8.145417,949.2083,2017-02-17
"3",339701,2017-02-17 00:22:00,10.23242,NA,5.88,6.189167,10.69656,8.14625,949.6667,2017-02-17
"4",339702,2017-02-17 00:32:00,10.23239,NA,5.88,6.177083,10.69375,8.14625,949.8333,2017-02-17
"5",339703,2017-02-17 00:42:00,10.23195,NA,5.88,6.165417,10.6949,8.146667,950.5,2017-02-17
"6",339704,2017-02-17 00:52:00,10.23059,NA,5.88,6.154583,10.69646,8.1475,950.75,2017-02-17
"7",339705,2017-02-17 01:02:00,10.23076,NA,5.88,6.146667,10.6976,8.147917,950.7917,2017-02-17
"8",339706,2017-02-17 01:12:00,10.23092,NA,5.88,6.140417,10.69615,8.14875,950.9583,2017-02-17
"9",339707,2017-02-17 01:22:00,10.23089,NA,5.88,6.135833,10.69656,8.15,951.375,2017-02-17
"10",339708,2017-02-17 01:32:00,10.23143,NA,5.89,6.129583,10.69844,8.150833,951.3333,2017-02-17
"11",339709,2017-02-17 01:42:00,10.23157,NA,5.89,6.1225,10.70031,8.15125,951.3333,2017-02-17
"12",339710,2017-02-17 01:52:00,10.2314,NA,5.88,6.117083,10.69594,8.151667,951.5833,2017-02-17
"13",339711,2017-02-17 02:02:00,10.23125,NA,5.88,6.112917,10.69271,8.1525,952.2083,2017-02-17
"14",339712,2017-02-17 02:12:00,10.23151,NA,5.88,6.109167,10.69448,8.152917,952.4167,2017-02-17
"15",339713,2017-02-17 02:22:00,10.2315,NA,5.88,6.105833,10.69594,8.15375,952.5,2017-02-17
"16",339714,2017-02-17 02:32:00,10.23175,NA,5.89,6.102083,10.70021,8.155,953.0417,2017-02-17
"17",339715,2017-02-17 02:42:00,10.23184,NA,5.88,6.097917,10.6976,8.155417,952.4167,2017-02-17
"18",339716,2017-02-17 02:52:00,10.23195,NA,5.88,6.094583,10.69615,8.155417,953.4583,2017-02-17
"19",339717,2017-02-17 03:02:00,10.23168,NA,5.88,6.090417,10.69698,8.15625,953.5417,2017-02-17
"20",339718,2017-02-17 03:12:00,10.23182,NA,5.88,6.08625,10.69615,8.157083,953.9583,2017-02-17
"21",339719,2017-02-17 03:22:00,10.23175,NA,5.88,6.08,10.6926,8.1575,953.7917,2017-02-17
"22",339720,2017-02-17 03:32:00,10.23155,NA,5.87,6.072917,10.68771,8.15875,954.25,2017-02-17
"23",339721,2017-02-17 03:42:00,10.23171,NA,5.87,6.06375,10.68594,8.16,954.2083,2017-02-17
"24",339722,2017-02-17 03:52:00,10.23198,NA,5.87,6.052917,10.68542,8.16,954,2017-02-17
"25",339723,2017-02-17 04:02:00,10.2319,NA,5.86,6.041667,10.67646,8.16,953.5833,2017-02-17
"26",339724,2017-02-17 04:12:00,10.23147,NA,5.85,6.03,10.6674,8.160417,954,2017-02-17
"27",339725,2017-02-17 04:22:00,10.23124,NA,5.84,6.01875,10.66542,8.16,953.875,2017-02-17
"28",339726,2017-02-17 04:32:00,10.2312,NA,5.85,6.007917,10.6674,8.16,953.9583,2017-02-17
"29",339727,2017-02-17 04:42:00,10.23131,NA,5.85,5.997917,10.66771,8.160417,954.2083,2017-02-17
"30",339728,2017-02-17 04:52:00,10.23125,NA,5.85,5.988333,10.66771,8.16125,953.4167,2017-02-17
"31",339729,2017-02-17 05:02:00,10.23128,NA,5.84,5.98125,10.6649,8.160833,953.875,2017-02-17
"32",339730,2017-02-17 05:12:00,10.23125,NA,5.85,5.977083,10.66823,8.16125,954,2017-02-17
"33",339731,2017-02-17 05:22:00,10.23142,NA,5.85,5.975833,10.67,8.162083,954.125,2017-02-17
"34",339732,2017-02-17 05:32:00,10.23157,NA,5.85,5.9775,10.67333,8.162917,953.7083,2017-02-17
"35",339733,2017-02-17 05:42:00,10.23155,NA,5.85,5.98125,10.67323,8.164167,953.875,2017-02-17
"36",339734,2017-02-17 05:52:00,10.23129,NA,5.86,5.987917,10.67531,8.167083,953.75,2017-02-17
"37",339735,2017-02-17 06:02:00,10.23155,NA,5.87,6,10.68635,8.169167,953.5833,2017-02-17
"38",339736,2017-02-17 06:12:00,10.23175,NA,5.87,6.017083,10.68948,8.172083,953,2017-02-17
"39",339737,2017-02-17 06:22:00,10.23176,NA,5.87,6.037917,10.68781,8.175833,953.2083,2017-02-17
"40",339738,2017-02-17 06:32:00,10.23137,NA,5.87,6.062917,10.68906,8.179583,953.2083,2017-02-17
"41",339739,2017-02-17 06:42:00,10.23147,NA,5.89,6.092083,10.69979,8.183333,953.5,2017-02-17
