"","...1","Time","No3","O2_konz","O2_proz","wl","wt","Ec","Ph","Q"
"1",157825,2023-01-01 00:02:00,7.10506375,11.2820833333333,100.0445833,9.045,9.514,896.39,8.01,3.99231394162445
"2",157826,2023-01-01 00:12:00,7.110454583,11.2891666666667,100.07875,9.035,9.518,896.47,8.01,3.98239316829907
"3",157827,2023-01-01 00:22:00,7.116430833,11.2829166666667,99.99791667,9.08749,9.497,896.58,8.01,4.03465103807694
"4",157828,2023-01-01 00:32:00,7.122524583,11.2875,100.0129167,9.12,9.472,895.95,8.01,4.06724522363742
"5",157829,2023-01-01 00:42:00,7.129516667,11.30416667,100.1429167,9.11749,9.478,895.61,8.01,4.06472250280477
"6",157830,2023-01-01 00:52:00,7.137147083,11.30375,100.1208333,9.0125,9.508,895.82,8.01,3.96013158500111
"7",157831,2023-01-01 01:02:00,7.142824167,11.3175,100.23375,9.12,9.536,895.73,8.01,4.06724522363742
"8",157832,2023-01-01 01:12:00,7.144894167,11.31875,100.2270833,9.1225,9.549,896.18,8.01,4.06975892923964
"9",157833,2023-01-01 01:22:00,7.140298333,11.32,100.2179167,9.0825,9.544,896.34,8.01,4.0296635662771
"10",157834,2023-01-01 01:32:00,7.1478375,11.33708333,100.3541667,9.0775,9.534,896.47,8.01,4.02467022044536
"11",157835,2023-01-01 01:42:00,7.143905417,11.31583333,100.1470833,8.94249,9.521,896.46,8.01,3.89139522572616
"12",157836,2023-01-01 01:52:00,7.1430725,11.32208333,100.1833333,9.1075,9.52,896.6,8.01,4.05469219354694
"13",157837,2023-01-01 02:02:00,7.142277917,11.31625,100.1120833,9.12,9.51,896.42,8.01,4.06724522363742
"14",157838,2023-01-01 02:12:00,7.139973333,11.33166667,100.2254167,8.9975,9.488,895.56,8.01,3.94533676325749
"15",157839,2023-01-01 02:22:00,7.13979125,11.35083333,100.3716667,9.015,9.469,896.14,8.01,3.96260098325674
"16",157840,2023-01-01 02:32:00,7.142147917,11.34125,100.2625,9.095,9.46,896.15,8.01,4.04216498033445
"17",157841,2023-01-01 02:42:00,7.144022917,11.33416667,100.1729167,9.1125,9.438,896.22,8.01,4.0597103065657
"18",157842,2023-01-01 02:52:00,7.1482025,11.34,100.19875,8.99249,9.4,896.39,8.01,3.94040352621397
"19",157843,2023-01-01 03:02:00,7.1511975,11.33291667,100.10625,9.1225,9.357,895.54,8.01,4.06975892923964
"20",157844,2023-01-01 03:12:00,7.15184875,11.34708333,100.2108333,8.9975,9.324,895.57,8.01,3.94533676325749
"21",157845,2023-01-01 03:22:00,7.152239167,11.3525,100.2308333,9.0625,9.293,895.59,8.01,4.00971492175681
"22",157846,2023-01-01 03:32:00,7.14753875,11.36583333,100.3145833,9.08,9.268,895.66,8.01,4.02716637780378
"23",157847,2023-01-01 03:42:00,7.150065,11.37208333,100.3366667,8.9975,9.246,895.81,8.01,3.94533676325749
"24",157848,2023-01-01 03:52:00,7.149049167,11.3575,100.1675,8.995,9.236,895.65,8.01,3.94287455293488
"25",157849,2023-01-01 04:02:00,7.148125,11.37625,100.29125,9.09,9.235,895.73,8.01,4.03716131980578
"26",157850,2023-01-01 04:12:00,7.144778333,11.37291667,100.21875,9.0775,9.232,895.75,8.01,4.02467022044536
"27",157851,2023-01-01 04:22:00,7.144244583,11.37916667,100.2258333,9.0125,9.227,895.83,8.01,3.96013158500111
"28",157852,2023-01-01 04:32:00,7.14221375,11.40166667,100.375,9,9.222,895.8,8.01,3.9478
"29",157853,2023-01-01 04:42:00,7.140507917,11.409375,100.399375,8.9525,9.213,895.77,8.01,3.90117388143299
"30",157854,2023-01-01 04:52:00,7.137122083,11.40770833,100.338125,8.995,9.196,895.81,8.01,3.94287455293488
"31",157855,2023-01-01 05:02:00,7.141249583,11.430625,100.4922917,9.0125,9.18,895.07,8.01,3.96013158500111
"32",157856,2023-01-01 05:12:00,7.142655833,11.43020833,100.4435417,9.06,9.144,895.38,8.01,4.0072259782268
"33",157857,2023-01-01 05:22:00,7.14760375,11.42604167,100.3739583,9.00999,9.125,895.58,8.01,3.95765334259928
"34",157858,2023-01-01 05:32:00,7.146392917,11.435625,100.4260417,8.98999,9.106,895.5,8.02,3.9379433724076
"35",157859,2023-01-01 05:42:00,7.146405833,11.464375,100.6502083,8.9975,9.076,895.62,8.02,3.94533676325749
"36",157860,2023-01-01 05:52:00,7.14803375,11.47770833,100.7502083,9,9.048,895.6,8.02,3.9478
"37",157861,2023-01-01 06:02:00,7.149622083,11.474375,100.7047917,9,9.021,895.82,8.02,3.9478
"38",157862,2023-01-01 06:12:00,7.153137917,11.490625,100.8402083,9,9.006,895.86,8.01,3.9478
"39",157863,2023-01-01 06:22:00,7.15128875,11.49479167,100.869375,9,9,895.8,8.01,3.9478
"40",157864,2023-01-01 06:32:00,7.15010375,11.49895833,100.8997917,9.08499,9.008,895.66,8.01,4.03215179107389
"41",157865,2023-01-01 06:42:00,7.147239583,11.50416667,100.9304167,9.08749,9.029,895.53,8.02,4.03465103807694
"42",157866,2023-01-01 06:52:00,7.14678375,11.508125,100.966875,9.0625,9.052,895.73,8.01,4.00971492175681
"43",157867,2023-01-01 07:02:00,7.139088333,11.49895833,100.8864583,9.015,9.073,895.09,8.01,3.96260098325674
"44",157868,2023-01-01 07:12:00,7.14291625,11.514375,101.0227083,9.08,9.084,895.02,8.01,4.02716637780378
"45",157869,2023-01-01 07:22:00,7.14391875,11.51854167,101.0614583,9.08499,9.103,894.87,8.01,4.03215179107389
"46",157870,2023-01-01 07:32:00,7.150467917,11.49770833,100.8947917,9.08749,9.118,894.9,8.01,4.03465103807694
"47",157871,2023-01-01 07:42:00,7.149985833,11.50145833,100.9514583,9.11749,9.141,894.9,8.02,4.06472250280477
"48",157872,2023-01-01 07:52:00,7.148462083,11.515625,101.1027083,9.12999,9.15,895.11,8.02,4.07729617847802
"49",157873,2023-01-01 08:02:00,7.151300833,11.525625,101.2260417,9.075,9.152,895.05,8.02,4.02217509405989
"50",157874,2023-01-01 08:12:00,7.152381667,11.51479167,101.1772917,9.00499,9.162,894.95,8.02,3.95271969010966
"51",157875,2023-01-01 08:22:00,7.154543333,11.515625,101.2410417,9.0775,9.185,894.86,8.02,4.02467022044536
"52",157876,2023-01-01 08:32:00,7.153319167,11.515625,101.3052083,9.08499,9.217,894.68,8.02,4.03215179107389
"53",157877,2023-01-01 08:42:00,7.152785,11.528125,101.4877083,9.0825,9.26,894.63,8.02,4.0296635662771
"54",157878,2023-01-01 08:52:00,7.14705625,11.51291667,101.4241667,9.1275,9.303,894.65,8.03,4.07478944116131
"55",157879,2023-01-01 09:02:00,7.148149583,11.49833333,101.3804167,9.13249,9.357,894.68,8.03,4.07981401489458
"56",157880,2023-01-01 09:12:00,7.141574167,11.46958333,101.21375,9.2075,9.405,894.64,8.03,4.15584079302782
"57",157881,2023-01-01 09:22:00,7.141535,11.47666667,101.3683333,9.20999,9.449,894.58,8.03,4.15838055422169
"58",157882,2023-01-01 09:32:00,7.140141667,11.47083333,101.4033333,9.25,9.503,894.59,8.04,4.19933149369008
"59",157883,2023-01-01 09:42:00,7.13894375,11.44166667,101.2391667,9.155,9.566,894.42,8.04,4.10253120438875
"60",157884,2023-01-01 09:52:00,7.138904583,11.43541667,101.2845833,9.20999,9.627,894.25,8.04,4.15838055422169
"61",157885,2023-01-01 10:02:00,7.135649167,11.42791667,101.3225,9.16249,9.69,894.31,8.05,4.11010875145225
"62",157886,2023-01-01 10:12:00,7.135180417,11.42125,101.3591667,9.25499,9.739,894.22,8.05,4.20445753028905
"63",157887,2023-01-01 10:22:00,7.135753333,11.4,101.2741667,9.28999,9.797,894.38,8.05,4.24052832099916
"64",157888,2023-01-01 10:32:00,7.137120833,11.37958333,101.1879167,9.19249,9.86,893.95,8.05,4.14055264145631
"65",157889,2023-01-01 10:42:00,7.138969583,11.37041667,101.2075,9.1225,9.913,894.12,8.05,4.06975892923964
"66",157890,2023-01-01 10:52:00,7.14242,11.3875,101.45375,9.25,9.963,893.96,8.05,4.19933149369008
"67",157891,2023-01-01 11:02:00,7.143331667,11.39,101.57125,9.2475,10.011,893.49,8.05,4.19676489815385
"68",157892,2023-01-01 11:12:00,7.145935417,11.39208333,101.6883333,9.14,10.06,893.18,8.05,4.0873838150898
"69",157893,2023-01-01 11:22:00,7.141404167,11.3575,101.47375,9.19499,10.11,893.93,8.05,4.14309637256163
"70",157894,2023-01-01 11:32:00,7.141235,11.37125,101.69125,9.11499,10.158,893.91,8.05,4.06221086796077
"71",157895,2023-01-01 11:42:00,7.141742917,11.37208333,101.7804167,9.1225,10.18,894.1,8.05,4.06975892923964
"72",157896,2023-01-01 11:52:00,7.142628333,11.34916667,101.655,9.1425,10.187,894.14,8.05,4.08990579285766
"73",157897,2023-01-01 12:02:00,7.144060833,11.33291667,101.5804167,9.17749,10.188,894.21,8.05,4.12531203701531
"74",157898,2023-01-01 12:12:00,7.14188625,11.33166667,101.63875,9.25499,10.188,894.12,8.05,4.20445753028905
"75",157899,2023-01-01 12:22:00,7.139725,11.32375,101.6241667,9.30249,10.199,893.99,8.05,4.25346026731273
"76",157900,2023-01-01 12:32:00,7.138305417,11.325,101.6895833,9.2475,10.212,894.07,8.05,4.19676489815385
"77",157901,2023-01-01 12:42:00,7.139933333,11.30333333,101.5341667,9.24249,10.235,894.12,8.05,4.1916245727177
"78",157902,2023-01-01 12:52:00,7.140831667,11.2925,101.4704167,9.2,10.255,894.47,8.05,4.14819713309361
"79",157903,2023-01-01 13:02:00,7.136040417,11.29791667,101.5370833,9.12,10.266,894.62,8.05,4.06724522363742
"80",157904,2023-01-01 13:12:00,7.1334625,11.30541667,101.6079167,9.08,10.255,894.7,8.05,4.02716637780378
"81",157905,2023-01-01 13:22:00,7.130480833,11.31416667,101.6804167,9.1675,10.245,894.66,8.05,4.11518250003402
"82",157906,2023-01-01 13:32:00,7.128814167,11.28583333,101.4108333,9.1225,10.226,894.31,8.05,4.06975892923964
"83",157907,2023-01-01 13:42:00,7.12998625,11.29541667,101.4729167,9.1225,10.196,894.47,8.05,4.06975892923964
"84",157908,2023-01-01 13:52:00,7.128957917,11.3075,101.5425,9.075,10.16,894.6,8.04,4.02217509405989
"85",157909,2023-01-01 14:02:00,7.130507083,11.31333333,101.5475,9.065,10.129,894.63,8.04,4.01220489540762
"86",157910,2023-01-01 14:12:00,7.131783333,11.3025,101.3916667,9.12,10.095,894.46,8.04,4.06724522363742
"87",157911,2023-01-01 14:22:00,7.13292875,11.30083333,101.3108333,9.065,10.053,894.5,8.04,4.01220489540762
"88",157912,2023-01-01 14:32:00,7.132473333,11.30666667,101.2870833,8.9375,10.015,894.36,8.04,3.88652667916107
"89",157913,2023-01-01 14:42:00,7.1257025,11.31125,101.2504167,9.075,9.946,894.62,8.04,4.02217509405989
"90",157914,2023-01-01 14:52:00,7.125129583,11.31916667,101.23625,8.94749,9.872,894.46,8.03,3.89627761791473
