"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"1",339267,2017-02-14 00:02:00,10.3612,NA,5.72,3.405417,10.56375,8.155833,966.4583,2017-02-14
"2",339268,2017-02-14 00:12:00,10.35621,NA,5.72,3.380417,10.56563,8.15625,966.25,2017-02-14
"3",339269,2017-02-14 00:22:00,10.35812,NA,5.71,3.35625,10.5626,8.156667,966.2917,2017-02-14
"4",339270,2017-02-14 00:32:00,10.36036,NA,5.71,3.3325,10.56073,8.157083,966.125,2017-02-14
"5",339271,2017-02-14 00:42:00,10.3688,NA,5.71,3.308333,10.56156,8.157917,966.3333,2017-02-14
"6",339272,2017-02-14 00:52:00,10.36592,NA,5.72,3.285,10.56385,8.158333,967,2017-02-14
"7",339273,2017-02-14 01:02:00,10.37179,NA,5.71,3.261667,10.56094,8.158333,966.25,2017-02-14
"8",339274,2017-02-14 01:12:00,10.36629,NA,5.71,3.239583,10.56125,8.15875,966.6667,2017-02-14
"9",339275,2017-02-14 01:22:00,10.3663,NA,5.71,3.217917,10.56323,8.159167,966.875,2017-02-14
"10",339276,2017-02-14 01:32:00,10.36653,NA,5.71,3.197083,10.5599,8.159167,965.7083,2017-02-14
"11",339277,2017-02-14 01:42:00,10.36521,NA,5.71,3.175833,10.55687,8.159167,965.4167,2017-02-14
"12",339278,2017-02-14 01:52:00,10.36431,NA,5.7,3.154583,10.55521,8.159167,964.9167,2017-02-14
"13",339279,2017-02-14 02:02:00,10.36569,NA,5.71,3.133333,10.55562,8.159167,962.875,2017-02-14
"14",339280,2017-02-14 02:12:00,10.36681,NA,5.71,3.112917,10.55635,8.159167,962.5417,2017-02-14
"15",339281,2017-02-14 02:22:00,10.35886,NA,5.71,3.093333,10.5599,8.159167,960.9167,2017-02-14
"16",339282,2017-02-14 02:32:00,10.35333,NA,5.71,3.075833,10.55844,8.159167,959.875,2017-02-14
"17",339283,2017-02-14 02:42:00,10.34899,NA,5.71,3.059583,10.55667,8.159167,958.5833,2017-02-14
"18",339284,2017-02-14 02:52:00,10.35161,NA,5.71,3.044583,10.55719,8.159583,957.9167,2017-02-14
"19",339285,2017-02-14 03:02:00,10.34952,NA,5.71,3.030417,10.56094,8.16,958.375,2017-02-14
"20",339286,2017-02-14 03:12:00,10.34942,NA,5.71,3.016667,10.55729,8.16,958.0417,2017-02-14
"21",339287,2017-02-14 03:22:00,10.3514,NA,5.7,3.00375,10.55323,8.16,958.7083,2017-02-14
"22",339288,2017-02-14 03:32:00,10.35045,NA,5.7,2.992083,10.55135,8.16,959.1667,2017-02-14
"23",339289,2017-02-14 03:42:00,10.35136,NA,5.7,2.982083,10.55177,8.16,958.9583,2017-02-14
"24",339290,2017-02-14 03:52:00,10.34907,NA,5.69,2.972917,10.54354,8.16,958.7917,2017-02-14
"25",339291,2017-02-14 04:02:00,10.35038,NA,5.68,2.962917,10.53635,8.16,958.5417,2017-02-14
"26",339292,2017-02-14 04:12:00,10.35189,NA,5.68,2.95375,10.53302,8.16,957.7917,2017-02-14
"27",339293,2017-02-14 04:22:00,10.35415,NA,5.67,2.945,10.52875,8.16,958,2017-02-14
"28",339294,2017-02-14 04:32:00,10.3516,NA,5.67,2.935833,10.5274,8.16,957.875,2017-02-14
"29",339295,2017-02-14 04:42:00,10.35156,NA,5.66,2.927083,10.52052,8.160417,957.875,2017-02-14
"30",339296,2017-02-14 04:52:00,10.34916,NA,5.66,2.91875,10.51729,8.160833,958.125,2017-02-14
"31",339297,2017-02-14 05:02:00,10.35118,NA,5.65,2.911667,10.51437,8.161667,958.125,2017-02-14
"32",339298,2017-02-14 05:12:00,10.35242,NA,5.66,2.905,10.51792,8.1625,958.7917,2017-02-14
"33",339299,2017-02-14 05:22:00,10.3518,NA,5.66,2.899167,10.51958,8.16375,959.7917,2017-02-14
"34",339300,2017-02-14 05:32:00,10.35368,NA,5.66,2.89375,10.51885,8.165417,961,2017-02-14
"35",339301,2017-02-14 05:42:00,10.35424,NA,5.66,2.89,10.51917,8.167083,961.4167,2017-02-14
"36",339302,2017-02-14 05:52:00,10.35584,NA,5.67,2.88875,10.52646,8.169167,962.7083,2017-02-14
"37",339303,2017-02-14 06:02:00,10.35558,NA,5.67,2.890417,10.52688,8.17125,964.2083,2017-02-14
"38",339304,2017-02-14 06:12:00,10.35498,NA,5.66,2.893333,10.52333,8.17375,964.9583,2017-02-14
